nombre,continente,poblacion,superficie
Argentina,América del Sur,45376763,2780400
Brasil,América del Sur,213993437,8515767
Chile,América del Sur,19116201,756102
España,Europa,47351567,505990
Canadá,América del Norte,38005238,9984670
China,Asia,1412600000,9596961
